case,activation,hidden,n_hidden,q,data_seed,init_seed,special,n,p,max_order,NN_mse_vs_y,act_io_mean,TPR_mse_vs_NN,TPR_mse_vs_y,FPR_mse_vs_y,FPR_mse_vs_NN,FPR_r2_vs_y,shape_NN_FPR_in,mahal_NN_FPR,shape_NN_FPR_ext,abs_rmse_gap,NN_FPR_log10,well_specified
highdim_poly4,softplus,64,1,3,0,20,False,10000,20,1,0.0009814815654572186,0.03192336616066816,0.0003093101813535212,0.0013983254896576432,0.007212486559572409,0.006366763463447164,0.7525102231838371,0.004485705715280676,0.04212387623370902,0.022257932530375352,0.0535977534430586,-0.8662028699231153,False
highdim_poly4,softplus,64,1,3,0,21,False,10000,20,1,0.0009465386972551741,0.0345163498159983,0.0005069895742143107,0.0015961761441460184,0.007212486559572409,0.0064406492307642555,0.7525102231838371,0.004528671676931524,0.038803682666964275,0.021798352734215917,0.05416049059609234,-0.8819466429748146,False
highdim_poly4,softplus,64,1,3,0,22,False,10000,20,1,0.0009703792084919563,0.03681203463102675,0.00027047406310771105,0.0012955677801258414,0.007212486559572409,0.006367929808082172,0.7525102231838371,0.0045165078517304825,0.006177151892572829,0.02242152463774435,0.05377544939209046,-0.8711435341676221,False
highdim_poly4,softplus,64,1,3,0,23,False,10000,20,1,0.0010245188123810675,0.04793951857375298,0.0005320673604658397,0.0018262570893394347,0.007212486559572409,0.006516790321887687,0.7525102231838371,0.004544409385857968,0.07145195381677577,0.020246783878261426,0.05291825421053217,-0.8475650794629072,False
highdim_poly4,softplus,64,1,3,0,24,False,10000,20,1,0.0010702101184908842,0.03244536804714167,0.00012300691308150696,0.0012505597173970643,0.007212486559572409,0.006025325748337781,0.7525102231838371,0.004292078687060691,0.018541159358106574,0.02139233226794083,0.052212293562677044,-0.828615964087598,False
highdim_poly4,softplus,64,1,3,0,25,False,10000,20,1,0.0009201151073002408,0.044122737411657065,0.0012526460725235129,0.00226809060240527,0.007212486559572409,0.006472269967545044,0.7525102231838371,0.004532934235300936,0.038829541911205405,0.01930216661841161,0.05459296042294728,-0.894242855450366,False
highdim_poly4,softplus,64,1,3,0,26,False,10000,20,1,0.0009959002516440212,0.04155757435033498,0.00039562102211165227,0.00139276406799823,0.007212486559572409,0.006243680896254932,0.7525102231838371,0.004429408397094027,0.018337100225402577,0.01957437724723797,0.05336847231471175,-0.8598691747507723,False
highdim_poly4,softplus,64,1,3,0,27,False,10000,20,1,0.0011357510906535612,0.0321008747884242,0.00013840570867882285,0.001327196419722026,0.007212486559572409,0.006004090538625303,0.7525102231838371,0.004275337519530293,0.03513336144810837,0.02088833354066505,0.05122545325012849,-0.8028018543225354,False
highdim_poly4,softplus,64,1,3,0,28,False,10000,20,1,0.0012755887768558386,0.03509506540350306,0.00013649397384438212,0.0014384940598082259,0.007212486559572409,0.005542524387314737,0.7525102231838371,0.003935628965871829,0.02773806976418444,0.01826748280520778,0.04921097391127394,-0.7523743273694055,False
highdim_poly4,softplus,64,1,3,0,29,False,10000,20,1,0.0009557326895202084,0.04257944569146087,0.0009204201335708095,0.0017923424982605625,0.007212486559572409,0.006404945572509402,0.7525102231838371,0.004510904545817215,0.02456481949250359,0.018998641573958197,0.054011432981577394,-0.8777485761518988,False
