case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,initial_n,initial_fit_n,initial_valid_n,fpr_distance,tpr_distance,combined_distance,initial_nn_valid_mse,initial_fpr_valid_mse,initial_tpr_valid_mse,initial_fpr_mimic_mse,initial_tpr_mimic_mse,distance_norm,raw_dopt_weight,dopt_weight,normalization_low,normalization_high,p_dim,source_prefix
highdim_smooth,Smooth,20,10000,7500,2500,0,0,375,281,94,0.0063071777001112,0.6283998392391876,0.3173535084696494,0.0064948753893222,0.0087363951682591,5.104842260094349,0.0114275647690771,5.057970535063187,0.0,1.0,0.95,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,0,1,375,281,94,0.0240086729241514,0.9314773752784766,0.477743024101314,0.0117327403474796,0.0350383115597664,212.051417126617,0.0438964530182955,211.53757021896783,0.5345163409329325,0.4654836590670674,0.6025643783935938,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,0,375,281,94,0.0167849835803833,0.9574018780750956,0.4870934308277394,0.0137185298921043,0.0204503489013709,658946067.7253833,0.0301173510619018,658947459.5612792,0.574991366087681,0.425008633912319,0.5762556120430073,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,1,375,281,94,0.0159213149546034,0.94434021539159,0.4801307651730968,0.0196217979990795,0.0223006820654366,24109848875.54913,0.0300875723865485,24109842903.991924,0.544852135168525,0.4551478648314749,0.5958461121404587,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,0,375,281,94,0.0125394692812874,0.7386107365578658,0.3755751029195766,0.0118139244664873,0.0141427557916658,9.81825108784403,0.0211299292504424,9.81980717702905,0.0922629394683258,0.907737060531674,0.890029089345588,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,2,1,375,281,94,0.0126812749929377,0.5834736072293625,0.2980774411111501,0.0108562773090078,0.0143429125234354,5.284162111241092,0.0243165384133708,5.205172748833627,0.0,1.0,0.95,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,0,375,281,94,0.0147924697415178,0.9594460614021568,0.4871192655718372,0.0120592762896899,0.0211937839960377,21205.583610312824,0.0274661694948392,21197.472494132664,0.5751031967221999,0.4248968032778001,0.5761829221305701,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,3,1,375,281,94,0.0174872214049397,0.8329555533965691,0.4252213874007544,0.0152145824544884,0.0178131495365804,19.8878325498283,0.0331384196131575,19.855533453408395,0.3071663839929963,0.6928336160070037,0.7503418504045523,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,0,375,281,94,0.0103793149998812,0.6983961871345616,0.3543877510672214,0.0103725770673344,0.010872336434278,7.454377636775823,0.0176754901094513,7.243468360095503,0.0005494317806853,0.9994505682193148,0.9496428693425544,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,4,1,375,281,94,0.0096954983824639,0.5488352487714958,0.2792653735769799,0.0100873382773039,0.0210065197211881,3.4806260493644743,0.0180179359783707,3.4762628293864704,0.0,1.0,0.95,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,0,0,375,281,94,0.0138035359606789,0.8006651892691872,0.407234362614933,0.0072990109416159,0.0193996202251637,18.291656783190508,0.0269600669403822,18.201353934564985,0.2293061045457169,0.7706938954542831,0.800951032045284,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,0,1,375,281,94,0.0229227008621773,0.9024350401728038,0.4626788705174905,0.0099787253317271,0.0304874868359209,70.53815801489826,0.0386572188467425,70.71549183457141,0.4693082689121617,0.5306917310878383,0.6449496252070948,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,1,0,375,281,94,0.0176090537412701,0.6886278900608727,0.3531184719010714,0.0155896948474578,0.018702990623156,7.103639232850919,0.0286486566653681,7.288985705897969,0.0,1.0,0.95,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,1,1,375,281,94,0.0144589086263286,0.915593697946002,0.4650263032861653,0.0076128300660412,0.0242427782202731,304.8226100947583,0.0234808708010314,304.3380648660727,0.4794695809428644,0.5205304190571356,0.638344772387138,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,2,0,375,281,94,0.0306165239395577,0.8901497933689548,0.4603831586542563,0.0123472909148207,0.0450228612205647,73.32472736534869,0.0555393347971847,73.37610271463006,0.4593708407198819,0.540629159280118,0.6514089535320766,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,2,1,375,281,94,0.0248249747564473,0.8334326778591439,0.4291288263077956,0.0120245944917409,0.0321793441057814,29.430528250316677,0.0447213120235589,29.225990212572388,0.3240804811740495,0.6759195188259505,0.7393476872368677,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,3,0,375,281,94,0.0183254587147301,0.7971035791675211,0.4077145189411256,0.0102067194307324,0.0251695431249521,21.79841813431585,0.0324585433051904,21.681755599047417,0.2313845531041023,0.7686154468958977,0.7996000404823334,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,3,1,375,281,94,0.012857896885708,0.4252050404256823,0.2190314686556952,0.0125036455141314,0.0133658354241994,1.7371894487629966,0.0222264719953508,1.8008739909813205,0.0,1.0,0.95,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_strong,Strong nonlinear,20,10000,7500,2500,4,0,375,281,94,0.0139376368719758,0.8352578660817572,0.4245977514768665,0.0093974788963976,0.0167914180983411,28.23492747307836,0.0256505976140341,28.271756406536827,0.3044668565344278,0.6955331434655722,0.7520965432526219,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
